1954-12-25T07:36:12 UT1,1954-12-25T07:36:42 TT,30s,1954-12-25T08:00:00 TT,0.2303511101,0.5085889724,-0.0000163349,-0.0000059495,-0.2300536367,0.0656370543,0.0001679799,-0.0000008792,-23.3947134437,0.0010036542,0.0000063831,0.0000000020,0.5705126809,-0.0000877745,-0.0000102324,-0.0000000021,0.0242332354,-0.0000873372,-0.0000101815,-0.0000000021,299.2178589270,14.9961905788,0.0000000000,0.0000000000,0.0047532057,0.0047295240
1955-06-20T04:10:12 UT1,1955-06-20T04:10:43 TT,31s,1955-06-20T04:00:00 TT,-0.1170415039,0.5803090026,-0.0000135962,-0.0000098108,-0.1429720857,-0.0515997513,-0.0001604265,0.0000010008,23.4389452883,0.0005155749,-0.0000055943,-0.0000000024,0.5308398399,0.0000385957,-0.0000127412,0.0000000012,-0.0152415524,0.0000384034,-0.0000126777,0.0000000012,238.8893164929,14.9992344325,0.0000000000,0.0000000000,0.0045984956,0.0045755847
1955-12-14T07:01:55 UT1,1955-12-14T07:02:26 TT,31s,1955-12-14T07:00:00 TT,-0.0380165894,0.5028927741,-0.0000080798,-0.0000055870,0.4253718192,0.0209215353,0.0001380524,-0.0000003283,-23.2119642122,-0.0025649583,0.0000063424,0.0000000012,0.5749683103,0.0000222827,-0.0000098783,0.0000000005,0.0286666756,0.0000221717,-0.0000098290,0.0000000005,285.6211628663,14.9963776075,0.0000000000,0.0000000000,0.0047493649,0.0047257024
1956-06-08T21:20:06 UT1,1956-06-08T21:20:37 TT,31s,1956-06-08T21:00:00 TT,-0.2089613587,0.5775238267,0.0000184511,-0.0000095180,-0.8911140597,-0.0064826948,-0.0001130520,0.0000002263,22.9592590934,0.0034127499,-0.0000055648,-0.0000000009,0.5330579523,-0.0000577160,-0.0000125350,-0.0000000025,-0.0130345023,-0.0000574284,-0.0000124726,-0.0000000025,134.4576565665,14.9994511259,0.0000000000,0.0000000000,0.0046029862,0.0045800530
1956-12-02T08:00:09 UT1,1956-12-02T08:00:40 TT,31s,1956-12-02T08:00:00 TT,0.0419887485,0.5218216443,-0.0000112748,-0.0000064434,1.0914994493,-0.0225065897,0.0001048200,0.0000002038,-22.0637533439,-0.0059294392,0.0000058882,0.0000000004,0.5650505526,0.0001079456,-0.0000105827,0.0000000029,0.0187983496,0.0001074077,-0.0000105299,0.0000000029,301.8573340664,14.9973081492,0.0000000000,0.0000000000,0.0047420685,0.0047184423
1957-04-30T00:04:51 UT1,1957-04-30T00:05:23 TT,32s,1957-04-30T00:00:00 TT,-0.2673666979,0.5187402249,0.0000485036,-0.0000067148,0.9639604029,0.1171885921,-0.0001266297,-0.0000014672,14.8099442075,0.0124769496,-0.0000032268,0.0000000024,0.5552972486,-0.0001152355,-0.0000107176,-0.0000000033,0.0090939004,-0.0001146612,-0.0000106642,-0.0000000033,179.9635279943,15.0026393168,0.0000000000,0.0000000000,0.0046395273,0.0046164120
1957-10-23T04:53:34 UT1,1957-10-23T04:54:06 TT,32s,1957-10-23T05:00:00 TT,-0.2050746965,0.5528336730,0.0000197577,-0.0000089047,-0.9826176107,-0.1484694639,0.0001319371,0.0000022917,-11.5141861531,-0.0142142841,0.0000021976,-0.0000000042,0.5401497931,0.0000843047,-0.0000125318,0.0000000029,-0.0059782353,0.0000838845,-0.0000124694,0.0000000029,258.1910049199,15.0027827789,0.0000000000,0.0000000000,0.0046981250,0.0046747178
1958-04-19T03:26:44 UT1,1958-04-19T03:27:16 TT,32s,1958-04-19T03:00:00 TT,-0.2938902091,0.4901119878,0.0000339888,-0.0000055511,0.2060265265,0.1311751387,-0.0000683435,-0.0000014247,11.1718213350,0.0141010604,-0.0000024916,0.0000000023,0.5677943505,-0.0000392144,-0.0000098355,-0.0000000012,0.0215287023,-0.0000390189,-0.0000097865,-0.0000000012,224.4835333770,15.0034706571,0.0000000000,0.0000000000,0.0046539348,0.0046307477
1958-10-12T20:54:55 UT1,1958-10-12T20:55:28 TT,33s,1958-10-12T21:00:00 TT,-0.0418513348,0.5591685172,0.0000189180,-0.0000095259,-0.2953884389,-0.1662661522,0.0000646211,0.0000027459,-7.6714816932,-0.0151967242,0.0000013742,-0.0000000054,0.5347841753,-0.0000127052,-0.0000129927,-0.0000000006,-0.0113170836,-0.0000126420,-0.0000129279,-0.0000000006,137.6911653260,15.0039024566,0.0000000000,0.0000000000,0.0046837531,0.0046604174
1959-04-08T03:23:36 UT1,1959-04-08T03:24:09 TT,33s,1959-04-08T03:00:00 TT,-0.0660384194,0.4878067469,0.0000058958,-0.0000055863,-0.4942537430,0.1458240752,-0.0000225311,-0.0000016090,7.1070028725,0.0152564116,-0.0000016858,0.0000000027,0.5676554764,0.0000622541,-0.0000099352,0.0000000015,0.0213904827,0.0000619441,-0.0000098857,0.0000000015,223.7877957045,15.0040916659,0.0000000000,0.0000000000,0.0046686776,0.0046454171
1959-10-02T12:26:26 UT1,1959-10-02T12:26:59 TT,33s,1959-10-02T12:00:00 TT,-0.1158711753,0.5392430681,0.0000249113,-0.0000083627,0.4778912001,-0.1704416345,-0.0000088898,0.0000025548,-3.6133007765,-0.0157256433,0.0000006144,-0.0000000050,0.5416827673,-0.0000865852,-0.0000121706,-0.0000000038,-0.0044528264,-0.0000861540,-0.0000121099,-0.0000000038,1.9514860584,15.0046094441,0.0000000000,0.0000000000,0.0046697100,0.0046464444
